source,edge_name,target
ANO3,codes_for,Q9BYT9
AOPEP,codes_for,Q8N6M6
ATP1A3,codes_for,P13637
COL6A3,codes_for,P12111
EIF2AK2,codes_for,P19525
GCH1,codes_for,P30793
GNAL,codes_for,P38405
HPCA,codes_for,P84074
KCNN2,codes_for,Q9H2S1
KCTD17,codes_for,Q8N5Z5
KMT2B,codes_for,Q9UMN6
MECR,codes_for,Q9BV79
PNKD,codes_for,Q8N490
PRKRA,codes_for,O75569
PRRT2,codes_for,Q7Z6L0
SGCE,codes_for,O43556
SHQ1,codes_for,Q6PI26
SLC2A1,codes_for,P11166
TAF1,codes_for,P21675
THAP1,codes_for,Q9NVV9
TMEM151A,codes_for,Q8N4L1
TOR1A,codes_for,O14656
TUBB4A,codes_for,P04350
VPS11,codes_for,Q9H270
VPS16,codes_for,Q9H269
NUP54,codes_for,Q7Z3B4
TSPOAP1,codes_for,O95153
