source,edge_name,target
607671,is_a,disease
617282,is_a,disease
224500,is_a,disease
601042,is_a,disease
612126,is_a,disease
619687,is_a,disease
614588,is_a,disease
611147,is_a,disease
612067,is_a,disease
118800,is_a,disease
616411,is_a,disease
619921,is_a,disease
620427,is_a,disease
619724,is_a,disease
159900,is_a,disease
602629,is_a,disease
619565,is_a,disease
614860,is_a,disease
128100,is_a,disease
615034,is_a,disease
620245,is_a,disease
619637,is_a,disease
128230,is_a,disease
128200,is_a,disease
611031,is_a,disease
620456,is_a,disease
620453,is_a,disease
607488,is_a,disease
602124,is_a,disease
615073,is_a,disease
128101,is_a,disease
617284,is_a,disease
128235,is_a,disease
619291,is_a,disease
612406,is_a,disease
616398,is_a,disease
314250,is_a,disease
