node_name,supranode,category
early_endosome,CC,instance
nuclear_pore,CC,instance
cell_projection,CC,instance
endoplasmic_reticulum_lumen,CC,instance
Golgi_apparatus,CC,instance
sarcolemma,CC,instance
extracellular_region,CC,instance
HOPS_complex,CC,instance
nucleus,CC,instance
glutamatergic_synapse,CC,instance
cytoplasm,CC,instance
perinuclear_region_of_cytoplasm,CC,instance
vesicle,CC,instance
plasma_membrane,CC,instance
presynaptic_cytosol,CC,instance
vesicle_tethering_complex,CC,instance
cytoplasmic_vesicle_membrane,CC,instance
protein_containing_complex,CC,instance
CORVET_complex,CC,instance
endomembrane_system,CC,instance
growth_cone,CC,instance
microtubule,CC,instance
Cul3_RING_ubiquitin_ligase_complex,CC,instance
endosome,CC,instance
mitochondrion,CC,instance
presynapse,CC,instance
lysosomal_membrane,CC,instance
late_endosome_membrane,CC,instance
endoplasmic_reticulum,CC,instance
autophagosome,CC,instance
presynaptic_membrane,CC,instance
transcription_factor_TFIID_complex,CC,instance
cytoplasmic_vesicle,CC,instance
cytosol,CC,instance
intracellular_membrane_bounded_organelle,CC,instance
lysosome,CC,instance
nucleolus,CC,instance
intercellular_bridge,CC,instance
dendrite,CC,instance
nucleoplasm,CC,instance
histone_methyltransferase_complex,CC,instance
synaptic_vesicle,CC,instance
clathrin_coated_vesicle,CC,instance
MLL_1_2_complex,CC,instance
calyx_of_Held,CC,instance
collagen_trimer,CC,instance
photoreceptor_inner_segment,CC,instance
mitotic_spindle,CC,instance
cytoskeleton,CC,instance
membrane,CC,instance
nuclear_envelope,CC,instance
sarcoglycan_complex,CC,instance
axon_terminus,CC,instance
