source,edge_name,target
607671,caused_by,DYT13
617282,caused_by,MECR
224500,caused_by,HPCA
601042,caused_by,SLC2A1
612126,caused_by,SLC2A1
619687,caused_by,EIF2AK2
614588,caused_by,DYT21
611147,caused_by,PNKD2
612067,caused_by,PRKRA
118800,caused_by,PNKD
616411,caused_by,COL6A3
619921,caused_by,SHQ1
620427,caused_by,NUP54
619724,caused_by,KCNN2
159900,caused_by,SGCE
602629,caused_by,THAP1
619565,caused_by,AOPEP
614860,caused_by,DYT23
128100,caused_by,TOR1A
615034,caused_by,ANO3
620245,caused_by,TMEM151A
619637,caused_by,VPS11
128230,caused_by,GCH1
128200,caused_by,PRRT2
611031,caused_by,EKD2
620456,caused_by,TSPOAP1
620453,caused_by,TSPOAP1
607488,caused_by,DYT15
602124,caused_by,DYT7
615073,caused_by,GNAL
128101,caused_by,TUBB4A
617284,caused_by,KMT2B
128235,caused_by,ATP1A3
619291,caused_by,VPS16
612406,caused_by,DYT17
616398,caused_by,KCTD17
314250,caused_by,TAF1
