source,edge_name,target
118800,inheritance,AD
128100,inheritance,AD
128101,inheritance,AD
128200,inheritance,AD
128235,inheritance,AD
159900,inheritance,AD
601042,inheritance,AD
602124,inheritance,AD
602629,inheritance,AD
607488,inheritance,AD
607671,inheritance,AD
611031,inheritance,AD
611147,inheritance,AD
612126,inheritance,AD
614588,inheritance,AD
614860,inheritance,AD
615034,inheritance,AD
615073,inheritance,AD
616398,inheritance,AD
617284,inheritance,AD
619291,inheritance,AD
619724,inheritance,AD
620245,inheritance,AD
128230,inheritance,AD
619687,inheritance,AD
224500,inheritance,AR
612067,inheritance,AR
612406,inheritance,AR
616411,inheritance,AR
617282,inheritance,AR
619565,inheritance,AR
619637,inheritance,AR
619921,inheritance,AR
620427,inheritance,AR
620453,inheritance,AR
620456,inheritance,AR
314250,inheritance,XLR
128230,inheritance,AR
619687,inheritance,AR
