node_name,supranode,category
negative_regulation_of_neurotransmitter_secretion,BP,instance
positive_regulation_of_intrinsic_apoptotic_signaling_pathway,BP,instance
cellular_response_to_oxidative_stress,BP,instance
regulation_of_calcium_dependent_activation_of_synaptic_vesicle_fusion,BP,instance
negative_regulation_of_rRNA_processing,BP,instance
protein_homooligomerization,BP,instance
regulation_of_presynaptic_cytosolic_calcium_ion_concentration,BP,instance
positive_regulation_of_apoptotic_process,BP,instance
protein_transport,BP,instance
chromatin_remodeling,BP,instance
methylation,BP,instance
proton_transmembrane_transport,BP,instance
translational_initiation,BP,instance
intracellular_sodium_ion_homeostasis,BP,instance
chaperone_cofactor_dependent_protein_refolding,BP,instance
positive_regulation_of_cilium_assembly,BP,instance
box_H_ACA_snoRNP_assembly,BP,instance
chloride_transmembrane_transport,BP,instance
DNA_templated_transcription_initiation,BP,instance
endoplasmic_reticulum_calcium_ion_homeostasis,BP,instance
obsolete_7_8_dihydroneopterin_3__triphosphate_biosynthetic_process,BP,instance
intracellular_transport,BP,instance
inner_ear_development,BP,instance
cellular_response_to_calcium_ion,BP,instance
metabolic_process,BP,instance
regulation_of_DNA_templated_transcription,BP,instance
methylglyoxal_catabolic_process_to_D_lactate_via_S_lactoyl_glutathione,BP,instance
negative_regulation_of_SNARE_complex_assembly,BP,instance
potassium_ion_import_across_plasma_membrane,BP,instance
monoatomic_ion_transport,BP,instance
potassium_ion_transport,BP,instance
ear_development,BP,instance
phosphorylation,BP,instance
intracellular_potassium_ion_homeostasis,BP,instance
G_protein_coupled_receptor_signaling_pathway,BP,instance
potassium_ion_transmembrane_transport,BP,instance
regulation_of_synaptic_transmission__dopaminergic,BP,instance
middle_ear_morphogenesis,BP,instance
establishment_of_localization_in_cell,BP,instance
protein_RNA_complex_assembly,BP,instance
regulation_of_dopamine_metabolic_process,BP,instance
transmembrane_transport,BP,instance
outer_ear_morphogenesis,BP,instance
vesicle_mediated_transport,BP,instance
vacuole_organization,BP,instance
sodium_ion_export_across_plasma_membrane,BP,instance
intracellular_protein_transport,BP,instance
transcription_by_RNA_polymerase_II,BP,instance
cell_adhesion,BP,instance
chromatin_organization,BP,instance
fatty_acid_biosynthetic_process,BP,instance
fatty_acid_metabolic_process,BP,instance
carbohydrate_transport,BP,instance
glucose_transmembrane_transport,BP,instance
cell_cycle,BP,instance
neuromuscular_process_controlling_posture,BP,instance
lipid_metabolic_process,BP,instance
endothelial_cell_proliferation,BP,instance
calcium_activated_galactosylceramide_scrambling,BP,instance
skeletal_system_morphogenesis,BP,instance
cellular_response_to_stimulus,BP,instance
cytoskeleton_organization,BP,instance
synaptic_vesicle_fusion_to_presynaptic_active_zone_membrane,BP,instance
establishment_or_maintenance_of_transmembrane_electrochemical_gradient,BP,instance
tetrahydrobiopterin_biosynthetic_process,BP,instance
proteasome_mediated_ubiquitin_dependent_protein_catabolic_process,BP,instance
calcium_activated_phosphatidylcholine_scrambling,BP,instance
monoatomic_ion_transmembrane_transport,BP,instance
signal_transduction,BP,instance
microtubule_based_process,BP,instance
autophagy,BP,instance
sodium_ion_transport,BP,instance
tetrahydrofolate_biosynthetic_process,BP,instance
negative_regulation_of_short_term_synaptic_potentiation,BP,instance
