source,edge_name,target
P84074,enables,actin_binding
P13637,enables,ATP_binding
P19525,enables,ATP_binding
O14656,enables,ATP_binding
P13637,enables,ATP_hydrolysis_activity
O14656,enables,ATP_hydrolysis_activity
Q9H270,located_in,autophagosome
Q9H270,involved_in,autophagy
Q7Z6L0,located_in,axon_terminus
O95153,enables,benzodiazepine_receptor_binding
Q6PI26,involved_in,box_H_ACA_snoRNP_assembly
Q9BYT9,involved_in,calcium_activated_galactosylceramide_scrambling
Q9BYT9,involved_in,calcium_activated_phosphatidylcholine_scrambling
Q9H2S1,enables,calcium_activated_potassium_channel_activity
P84074,enables,calcium_ion_binding
Q9H2S1,enables,calmodulin_binding
O95153,located_in,calyx_of_Held
P11166,involved_in,carbohydrate_transport
P30793,enables,catalytic_activity
P12111,involved_in,cell_adhesion
P21675,involved_in,cell_cycle
Q9NVV9,involved_in,cell_cycle
O43556,located_in,cell_projection
O14656,located_in,cell_projection
P84074,involved_in,cellular_response_to_calcium_ion
O75569,involved_in,cellular_response_to_oxidative_stress
P38405,involved_in,cellular_response_to_stimulus
O14656,involved_in,chaperone_cofactor_dependent_protein_refolding
Q9BYT9,enables,chloride_channel_activity
Q9BYT9,involved_in,chloride_transmembrane_transport
Q9UMN6,involved_in,chromatin_organization
Q9UMN6,involved_in,chromatin_remodeling
P21675,involved_in,chromatin_remodeling
Q9H270,located_in,clathrin_coated_vesicle
P12111,part_of,collagen_trimer
Q9H270,part_of,CORVET_complex
Q9H269,part_of,CORVET_complex
Q8N5Z5,part_of,Cul3_RING_ubiquitin_ligase_complex
Q8N5Z5,enables,cullin_family_protein_binding
P30793,located_in,cytoplasm
P84074,located_in,cytoplasm
Q8N5Z5,located_in,cytoplasm
O43556,located_in,cytoplasm
Q6PI26,located_in,cytoplasm
O14656,located_in,cytoplasm
O95153,located_in,cytoplasm
P04350,located_in,cytoplasm
Q9H269,located_in,cytoplasm
Q9H270,located_in,cytoplasmic_vesicle
O14656,located_in,cytoplasmic_vesicle_membrane
O43556,located_in,cytoskeleton
P04350,located_in,cytoskeleton
P04350,involved_in,cytoskeleton_organization
P84074,located_in,cytosol
Q6PI26,located_in,cytosol
O43556,located_in,dendrite
Q9UMN6,enables,DNA_binding
P21675,enables,DNA_binding
Q9NVV9,enables,DNA_binding
Q9NVV9,enables,DNA_binding_transcription_factor_activity
P21675,involved_in,DNA_templated_transcription_initiation
P19525,enables,double_stranded_RNA_binding
O75569,involved_in,ear_development
Q9H270,located_in,early_endosome
O14656,located_in,endomembrane_system
Q9H269,located_in,endomembrane_system
Q8N5Z5,located_in,endoplasmic_reticulum
Q8N4L1,located_in,endoplasmic_reticulum
O14656,located_in,endoplasmic_reticulum
Q8N5Z5,involved_in,endoplasmic_reticulum_calcium_ion_homeostasis
O14656,located_in,endoplasmic_reticulum_lumen
Q9H270,located_in,endosome
Q9H269,located_in,endosome
Q9NVV9,involved_in,endothelial_cell_proliferation
Q9BYT9,involved_in,establishment_of_localization_in_cell
P13637,involved_in,establishment_or_maintenance_of_transmembrane_electrochemical_gradient
P12111,located_in,extracellular_region
Q9BV79,involved_in,fatty_acid_biosynthetic_process
Q9BV79,involved_in,fatty_acid_metabolic_process
P38405,enables,G_protein_beta_gamma_subunit_complex_binding
P38405,involved_in,G_protein_coupled_receptor_signaling_pathway
P11166,involved_in,glucose_transmembrane_transport
P11166,enables,glucose_transmembrane_transporter_activity
Q7Z6L0,located_in,glutamatergic_synapse
O95153,located_in,glutamatergic_synapse
O43556,located_in,Golgi_apparatus
O14656,located_in,growth_cone
P38405,enables,GTP_binding
P04350,enables,GTP_binding
P30793,enables,GTP_cyclohydrolase_activity
P30793,enables,GTP_cyclohydrolase_I_activity
P38405,enables,GTPase_activity
P04350,enables,GTPase_activity
